MATCH	SEMCLASS	LENGTHNP1	LENGTHNP2	POSSORANIM	POSSEDANIM	POSSORSPEC	POSSEDSPEC	POSSORBRANCH	POSSEDBRANCH	POSSORCOMPL	POSSEDCOMPL
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	possession	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	5	inanimate	inanimate	nonspecific	specific	prepostmodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	1	5	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	1	1	human	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	3	1	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	attr-holder	2	4	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	possession	5	3	human	inanimate	specific	specific	premodified	postmodified	intermediate	intermediate
of	attr-holder	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	3	2	inanimate	inanimate	nonspecific	nonspecific	premodified	premodified	intermediate	intermediate
of	attr-holder	2	4	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	3	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	simple
of	part-whole	1	5	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	possession	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	7	inanimate	inanimate	specific	specific	prepostmodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	3	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	possession	2	2	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	possession	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	particip-event	1	2	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	3	2	inanimate	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	particip-event	2	2	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	human	specific	specific	none	none	simple	simple
of	particip-event	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	possession	2	3	human	inanimate	specific	specific	premodified	none	intermediate	simple
of	possession	1	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	1	2	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	1	2	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	particip-event	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	possession	1	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	attr-holder	2	2	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	2	3	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	possession	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	3	3	human	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	particip-event	2	3	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	attr-holder	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	possession	3	3	human	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	attr-holder	1	3	human	inanimate	specific	nonspecific	premodified	none	intermediate	simple
of	subcat-cat	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	1	2	human	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	particip-event	1	2	human	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	attr-holder	1	6	inanimate	inanimate	specific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	3	3	inanimate	inanimate	specific	specific	premodified	premodified	intermediate	intermediate
of	particip-event	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	2	4	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	3	3	inanimate	inanimate	specific	specific	premodified	premodified	intermediate	intermediate
of	attr-holder	3	4	inanimate	inanimate	nonspecific	specific	postmodified	premodified	intermediate	intermediate
of	attr-holder	2	4	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	2	3	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	1	5	inanimate	inanimate	specific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	2	4	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	attr-holder	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	attr-holder	2	3	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	possession	3	3	inanimate	inanimate	specific	nonspecific	premodified	premodified	intermediate	intermediate
of	particip-event	2	2	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	particip-event	2	6	inanimate	inanimate	specific	specific	prepostmodified	none	intermediate	simple
of	possession	3	2	human	inanimate	specific	specific	none	premodified	simple	intermediate
of	possession	3	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	attr-holder	1	4	human	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	3	2	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	particip-event	3	2	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	none	none	simple	intermediate
of	attr-holder	3	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	possession	2	2	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	3	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	possession	3	6	inanimate	inanimate	nonspecific	specific	postmodified	premodified	intermediate	intermediate
of	attr-holder	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	attr-holder	1	5	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	1	2	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	part-whole	2	4	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	4	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	3	3	human	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	part-whole	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	particip-event	2	1	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	nonspecific	premodified	premodified	intermediate	intermediate
of	possession	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	3	1	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	particip-event	1	3	inanimate	inanimate	specific	nonspecific	premodified	none	intermediate	simple
of	attr-holder	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	possession	3	2	inanimate	inanimate	specific	nonspecific	none	premodified	simple	intermediate
of	attr-holder	1	5	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	2	1	inanimate	inanimate	specific	specific	none	none	simple	simple
of	particip-event	2	4	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	particip-event	2	5	inanimate	inanimate	nonspecific	specific	prepostmodified	none	intermediate	simple
of	attr-holder	1	3	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	2	5	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	3	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	3	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	6	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	3	3	inanimate	inanimate	nonspecific	specific	postmodified	premodified	intermediate	intermediate
of	possession	3	3	human	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	attr-holder	2	1	inanimate	inanimate	specific	nonspecific	none	premodified	simple	intermediate
of	particip-event	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	3	1	human	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	possession	3	3	human	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	possession	3	3	inanimate	inanimate	nonspecific	nonspecific	postmodified	premodified	intermediate	intermediate
of	possession	4	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	possession	4	3	human	inanimate	specific	specific	premodified	premodified	intermediate	intermediate
of	attr-holder	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	possession	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	1	7	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	2	2	human	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	2	2	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	particip-event	1	2	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	3	inanimate	inanimate	nonspecific	nonspecific	premodified	premodified	intermediate	intermediate
of	attr-holder	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	attr-holder	3	4	human	inanimate	nonspecific	specific	postmodified	premodified	intermediate	intermediate
of	attr-holder	2	4	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	possession	3	2	inanimate	inanimate	nonspecific	specific	none	premodified	simple	simple
of	particip-event	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	2	4	human	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	2	4	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	2	human	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	3	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	attr-holder	3	2	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	attr-holder	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	subcat-cat	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	1	2	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	attr-holder	2	5	inanimate	inanimate	specific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	attr-holder	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	1	4	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	2	5	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	2	human	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	3	human	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	possession	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	possession	1	3	inanimate	human	specific	nonspecific	premodified	none	intermediate	simple
of	possession	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	4	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	2	human	inanimate	nonspecific	nonspecific	premodified	premodified	intermediate	intermediate
of	attr-holder	3	2	human	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	particip-event	2	3	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	3	2	human	inanimate	specific	specific	none	premodified	simple	intermediate
of	particip-event	2	4	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	possession	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	2	human	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	2	3	inanimate	inanimate	specific	nonspecific	premodified	none	intermediate	simple
of	attr-holder	2	4	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	5	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	possession	1	6	human	inanimate	specific	nonspecific	postmodified	none	intermediate	simple
of	possession	2	3	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	1	4	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	part-whole	3	1	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	particip-event	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	1	4	human	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	part-whole	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	possession	3	2	human	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	possession	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	possession	1	1	human	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	possession	2	2	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	3	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	4	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	4	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	possession	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	3	1	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	possession	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	3	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	1	2	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	particip-event	2	3	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	part-whole	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	3	2	inanimate	inanimate	nonspecific	nonspecific	premodified	premodified	intermediate	intermediate
of	attr-holder	3	2	inanimate	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	attr-holder	3	3	inanimate	inanimate	nonspecific	specific	postmodified	premodified	intermediate	intermediate
of	subcat-cat	2	2	inanimate	human	specific	specific	none	none	simple	simple
of	particip-event	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	1	3	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	attr-holder	3	3	inanimate	inanimate	nonspecific	nonspecific	postmodified	premodified	intermediate	intermediate
of	attr-holder	2	3	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	subcat-cat	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	possession	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	possession	3	1	inanimate	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	attr-holder	3	2	inanimate	inanimate	nonspecific	specific	postmodified	premodified	intermediate	intermediate
of	possession	3	5	inanimate	inanimate	specific	nonspecific	postmodified	premodified	intermediate	intermediate
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	3	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	part-whole	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	particip-event	2	5	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	nonspecific	premodified	premodified	intermediate	intermediate
of	particip-event	2	1	animate	inanimate	nonspecific	specific	none	none	simple	simple
of	possession	3	5	inanimate	inanimate	specific	nonspecific	postmodified	premodified	intermediate	intermediate
of	attr-holder	2	4	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	possession	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	particip-event	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	4	inanimate	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	possession	2	5	inanimate	inanimate	specific	specific	prepostmodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	3	2	inanimate	inanimate	nonspecific	specific	premodified	premodified	intermediate	intermediate
of	particip-event	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	attr-holder	3	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
of	attr-holder	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	attr-holder	3	4	inanimate	inanimate	nonspecific	nonspecific	postmodified	premodified	intermediate	intermediate
of	part-whole	3	2	human	inanimate	specific	specific	none	premodified	simple	intermediate
of	attr-holder	1	4	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	1	3	inanimate	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	possession	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	possession	2	2	inanimate	inanimate	specific	specific	none	none	simple	simple
of	particip-event	3	1	human	inanimate	nonspecific	specific	none	premodified	simple	intermediate
of	possession	1	2	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	possession	1	1	human	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	3	human	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	2	1	human	inanimate	nonspecific	specific	none	none	simple	simple
of	part-whole	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	2	2	inanimate	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	2	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	particip-event	2	4	inanimate	inanimate	nonspecific	specific	postmodified	premodified	intermediate	intermediate
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	attr-holder	2	3	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	part-whole	2	1	inanimate	inanimate	specific	specific	none	none	simple	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	4	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	particip-event	1	1	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	1	4	human	inanimate	nonspecific	nonspecific	postmodified	none	intermediate	simple
of	particip-event	2	2	human	inanimate	specific	specific	none	none	simple	simple
of	part-whole	1	4	inanimate	inanimate	nonspecific	nonspecific	premodified	none	intermediate	simple
of	attr-holder	3	1	human	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	particip-event	1	2	inanimate	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	attr-holder	2	4	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	1	1	human	inanimate	nonspecific	nonspecific	none	none	simple	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	particip-event	2	1	inanimate	inanimate	nonspecific	nonspecific	none	premodified	simple	intermediate
of	attr-holder	1	5	inanimate	inanimate	specific	nonspecific	prepostmodified	none	intermediate	simple
of	possession	2	2	inanimate	inanimate	nonspecific	specific	none	none	simple	simple
of	possession	3	3	inanimate	inanimate	nonspecific	nonspecific	postmodified	premodified	intermediate	intermediate
of	attr-holder	2	4	human	inanimate	nonspecific	specific	postmodified	none	intermediate	simple
of	attr-holder	2	3	inanimate	inanimate	specific	specific	premodified	none	intermediate	simple
of	attr-holder	1	3	inanimate	inanimate	specific	nonspecific	none	none	simple	simple
of	attr-holder	2	3	human	inanimate	nonspecific	specific	premodified	none	intermediate	simple
of	attr-holder	3	3	inanimate	inanimate	specific	specific	premodified	premodified	intermediate	intermediate
of	attr-holder	4	2	inanimate	inanimate	specific	specific	none	premodified	simple	intermediate
